comment,network,quality,satisfaction
"Could be better, could be worse.",Moderate,1080p,0.56
"Too much buffering, not enjoyable.",Poor,720p,0.26
Audio was off sync. Please fix!,Moderate,1080p,0.07
Amazing gameplay and no lag at all!,Good,720p,0.84
"Nothing special, just another game.",Moderate,1080p,0.58
Network is causing delays.,Very Poor,480p,0.1
I’m having a blast watching this!,Poor,1080p,0.84
Network is causing delays.,Good,1080p,0.02
Audio was off sync. Please fix!,Moderate,1080p,0.2
The video quality is poor.,Very Poor,360p,0.26
Network is causing delays.,Excellent,360p,0.38
Stream kept freezing every few minutes.,Very Poor,1080p,0.11
The video quality is poor.,Moderate,480p,0.06
Amazing gameplay and no lag at all!,Very Poor,360p,0.89
"Could be better, could be worse.",Excellent,360p,0.38
The video quality is poor.,Good,1080p,0.0
Audio was off sync. Please fix!,Excellent,720p,0.32
Network is causing delays.,Very Poor,360p,0.06
Decent audio but poor video.,Excellent,480p,0.51
Mediocre experience.,Very Poor,1080p,0.61
Great commentary and visuals!,Excellent,720p,0.95
The video quality is poor.,Moderate,720p,0.31
Stream kept freezing every few minutes.,Very Poor,720p,0.17
The video quality is poor.,Moderate,360p,0.35
"Loved the stream quality, keep it up!",Poor,1080p,1.0
"Loved the stream quality, keep it up!",Good,480p,0.81
Mediocre experience.,Poor,360p,0.78
The video quality is poor.,Poor,360p,0.0
The video quality is poor.,Poor,720p,0.0
Network is causing delays.,Moderate,720p,0.02
Amazing gameplay and no lag at all!,Poor,480p,0.86
Great commentary and visuals!,Moderate,360p,0.88
Decent audio but poor video.,Very Poor,720p,0.68
Amazing gameplay and no lag at all!,Good,720p,0.96
Audio was off sync. Please fix!,Moderate,1080p,0.19
"Could be better, could be worse.",Good,360p,0.47
"Loved the stream quality, keep it up!",Moderate,720p,0.88
I’m having a blast watching this!,Good,360p,0.97
"Loved the stream quality, keep it up!",Good,480p,0.9
The video quality is poor.,Moderate,1080p,0.38
The video quality is poor.,Moderate,360p,0.13
"Nothing special, just another game.",Moderate,360p,0.6
"Too much buffering, not enjoyable.",Moderate,480p,0.07
Network is causing delays.,Very Poor,360p,0.15
Stream is okay.,Good,1080p,0.53
"Too much buffering, not enjoyable.",Excellent,720p,0.05
Decent audio but poor video.,Excellent,1080p,0.81
Stream is okay.,Very Poor,360p,0.53
Network is causing delays.,Very Poor,480p,0.1
Audio was off sync. Please fix!,Very Poor,1080p,0.1
Amazing gameplay and no lag at all!,Very Poor,360p,0.99
"Could be better, could be worse.",Poor,360p,0.45
Amazing gameplay and no lag at all!,Excellent,720p,1.0
I’m having a blast watching this!,Very Poor,1080p,0.83
"Could be better, could be worse.",Poor,480p,0.66
The video quality is poor.,Very Poor,720p,0.06
Network is causing delays.,Very Poor,1080p,0.05
Network is causing delays.,Very Poor,720p,0.32
Great commentary and visuals!,Excellent,1080p,0.77
The video quality is poor.,Moderate,1080p,0.49
"Too much buffering, not enjoyable.",Excellent,1080p,0.33
Great commentary and visuals!,Very Poor,360p,0.96
The video quality is poor.,Poor,360p,0.0
"Nothing special, just another game.",Very Poor,480p,0.79
Amazing gameplay and no lag at all!,Excellent,1080p,0.88
Amazing gameplay and no lag at all!,Moderate,1080p,0.94
Amazing gameplay and no lag at all!,Poor,360p,1.0
The video quality is poor.,Poor,720p,0.17
"Nothing special, just another game.",Very Poor,480p,0.55
Stream is okay.,Excellent,1080p,0.54
Stream is okay.,Very Poor,720p,0.55
I’m having a blast watching this!,Moderate,720p,0.95
"Too much buffering, not enjoyable.",Poor,480p,0.07
"Too much buffering, not enjoyable.",Excellent,1080p,0.02
"Could be better, could be worse.",Excellent,720p,0.58
Audio was off sync. Please fix!,Moderate,720p,0.2
"Loved the stream quality, keep it up!",Moderate,720p,0.97
Network is causing delays.,Poor,360p,0.04
The video quality is poor.,Good,360p,0.25
Decent audio but poor video.,Very Poor,360p,0.72
Amazing gameplay and no lag at all!,Good,480p,0.82
I’m having a blast watching this!,Very Poor,480p,0.91
Audio was off sync. Please fix!,Moderate,360p,0.17
Amazing gameplay and no lag at all!,Poor,360p,0.85
"Everything is perfect, thanks!",Very Poor,360p,0.95
"Nothing special, just another game.",Very Poor,360p,0.62
Great commentary and visuals!,Moderate,1080p,0.94
The video quality is poor.,Very Poor,480p,0.02
Mediocre experience.,Very Poor,480p,0.51
"Nothing special, just another game.",Good,1080p,0.68
Stream kept freezing every few minutes.,Good,360p,0.24
Amazing gameplay and no lag at all!,Excellent,360p,0.95
Amazing gameplay and no lag at all!,Excellent,480p,0.95
"Everything is perfect, thanks!",Poor,720p,0.97
I’m having a blast watching this!,Very Poor,1080p,0.9
Decent audio but poor video.,Excellent,720p,0.7
"Everything is perfect, thanks!",Excellent,360p,1.0
Great commentary and visuals!,Excellent,1080p,0.87
"Too much buffering, not enjoyable.",Moderate,720p,0.29
Great commentary and visuals!,Good,720p,0.92
"Too much buffering, not enjoyable.",Moderate,720p,0.37
"Loved the stream quality, keep it up!",Good,1080p,0.99
Great commentary and visuals!,Poor,480p,0.92
"Too much buffering, not enjoyable.",Poor,360p,0.27
Amazing gameplay and no lag at all!,Good,480p,0.83
Great commentary and visuals!,Good,480p,1.0
Great commentary and visuals!,Moderate,360p,0.98
"Too much buffering, not enjoyable.",Excellent,1080p,0.3
I’m having a blast watching this!,Very Poor,360p,0.88
The video quality is poor.,Poor,1080p,0.41
Stream kept freezing every few minutes.,Very Poor,1080p,0.18
Audio was off sync. Please fix!,Very Poor,720p,0.25
"Too much buffering, not enjoyable.",Excellent,480p,0.05
"Too much buffering, not enjoyable.",Excellent,720p,0.12
"Nothing special, just another game.",Poor,1080p,0.49
Audio was off sync. Please fix!,Very Poor,720p,0.05
Decent audio but poor video.,Moderate,720p,0.49
Amazing gameplay and no lag at all!,Poor,1080p,0.93
"Too much buffering, not enjoyable.",Excellent,1080p,0.45
Great commentary and visuals!,Very Poor,480p,0.85
Network is causing delays.,Excellent,360p,0.21
"Too much buffering, not enjoyable.",Moderate,360p,0.1
Amazing gameplay and no lag at all!,Very Poor,720p,0.97
I’m having a blast watching this!,Very Poor,720p,0.83
"Loved the stream quality, keep it up!",Moderate,1080p,0.91
"Nothing special, just another game.",Good,480p,0.58
"Loved the stream quality, keep it up!",Very Poor,360p,0.89
"Nothing special, just another game.",Excellent,480p,0.66
Stream is okay.,Good,480p,0.47
"Everything is perfect, thanks!",Very Poor,720p,1.0
Great commentary and visuals!,Excellent,360p,0.94
Stream kept freezing every few minutes.,Very Poor,360p,0.0
Amazing gameplay and no lag at all!,Very Poor,720p,1.0
Decent audio but poor video.,Excellent,360p,0.59
"Loved the stream quality, keep it up!",Very Poor,1080p,0.83
"Could be better, could be worse.",Very Poor,1080p,0.6
"Too much buffering, not enjoyable.",Moderate,360p,0.06
Great commentary and visuals!,Excellent,1080p,1.0
Decent audio but poor video.,Moderate,360p,0.71
Decent audio but poor video.,Moderate,1080p,0.7
Great commentary and visuals!,Very Poor,360p,0.92
Great commentary and visuals!,Excellent,480p,0.98
"Everything is perfect, thanks!",Good,720p,0.84
"Loved the stream quality, keep it up!",Moderate,1080p,1.0
The video quality is poor.,Moderate,720p,0.1
Decent audio but poor video.,Poor,360p,0.72
Audio was off sync. Please fix!,Poor,360p,0.12
Amazing gameplay and no lag at all!,Very Poor,720p,0.87
Audio was off sync. Please fix!,Excellent,720p,0.29
I’m having a blast watching this!,Very Poor,1080p,0.89
Great commentary and visuals!,Good,1080p,1.0
I’m having a blast watching this!,Poor,360p,0.82
Decent audio but poor video.,Very Poor,720p,0.41
I’m having a blast watching this!,Moderate,1080p,0.86
"Loved the stream quality, keep it up!",Very Poor,1080p,0.93
Network is causing delays.,Good,720p,0.27
Stream kept freezing every few minutes.,Poor,720p,0.3
"Too much buffering, not enjoyable.",Excellent,720p,0.15
Network is causing delays.,Moderate,480p,0.3
Audio was off sync. Please fix!,Very Poor,720p,0.25
Decent audio but poor video.,Good,480p,0.72
The video quality is poor.,Poor,1080p,0.35
Stream is okay.,Excellent,720p,0.68
Great commentary and visuals!,Good,480p,0.83
I’m having a blast watching this!,Poor,720p,0.79
Network is causing delays.,Good,1080p,0.19
Audio was off sync. Please fix!,Excellent,480p,0.0
"Could be better, could be worse.",Good,480p,0.78
Amazing gameplay and no lag at all!,Very Poor,720p,0.9
Stream kept freezing every few minutes.,Good,480p,0.27
Stream kept freezing every few minutes.,Very Poor,480p,0.33
"Too much buffering, not enjoyable.",Moderate,720p,0.0
"Too much buffering, not enjoyable.",Moderate,1080p,0.12
"Nothing special, just another game.",Excellent,1080p,0.51
"Everything is perfect, thanks!",Moderate,1080p,0.91
"Could be better, could be worse.",Moderate,1080p,0.36
"Nothing special, just another game.",Good,720p,0.82
Amazing gameplay and no lag at all!,Excellent,360p,0.87
Amazing gameplay and no lag at all!,Poor,720p,1.0
Amazing gameplay and no lag at all!,Moderate,1080p,0.94
Stream kept freezing every few minutes.,Excellent,1080p,0.15
"Too much buffering, not enjoyable.",Very Poor,360p,0.24
Audio was off sync. Please fix!,Poor,360p,0.11
"Everything is perfect, thanks!",Very Poor,720p,0.98
Amazing gameplay and no lag at all!,Good,480p,0.95
Audio was off sync. Please fix!,Good,720p,0.05
Stream kept freezing every few minutes.,Good,1080p,0.26
Network is causing delays.,Good,360p,0.2
Audio was off sync. Please fix!,Excellent,1080p,0.3
Audio was off sync. Please fix!,Good,1080p,0.0
Amazing gameplay and no lag at all!,Good,1080p,0.9
Decent audio but poor video.,Excellent,480p,0.64
Decent audio but poor video.,Good,480p,0.67
Audio was off sync. Please fix!,Good,480p,0.2
Decent audio but poor video.,Poor,480p,0.64
"Everything is perfect, thanks!",Poor,480p,0.84
"Nothing special, just another game.",Moderate,480p,0.51
Network is causing delays.,Very Poor,1080p,0.15
Mediocre experience.,Good,1080p,0.86
Stream kept freezing every few minutes.,Excellent,720p,0.03
Stream kept freezing every few minutes.,Poor,360p,0.16
The video quality is poor.,Good,720p,0.08
Great commentary and visuals!,Poor,720p,1.0
Mediocre experience.,Excellent,720p,0.43
Stream kept freezing every few minutes.,Very Poor,1080p,0.4
"Everything is perfect, thanks!",Moderate,360p,0.85
Stream kept freezing every few minutes.,Moderate,480p,0.15
Stream is okay.,Good,360p,0.75
Stream is okay.,Moderate,480p,0.7
Great commentary and visuals!,Good,360p,0.9
Mediocre experience.,Very Poor,480p,0.52
Decent audio but poor video.,Very Poor,720p,0.46
"Could be better, could be worse.",Good,360p,0.5
Stream is okay.,Moderate,720p,0.7
The video quality is poor.,Very Poor,360p,0.05
Stream kept freezing every few minutes.,Moderate,360p,0.22
Stream kept freezing every few minutes.,Very Poor,360p,0.18
Network is causing delays.,Excellent,480p,0.07
Mediocre experience.,Excellent,1080p,0.83
Mediocre experience.,Very Poor,480p,0.51
"Could be better, could be worse.",Good,1080p,0.53
Stream is okay.,Poor,720p,0.41
Audio was off sync. Please fix!,Excellent,1080p,0.22
Stream kept freezing every few minutes.,Excellent,1080p,0.03
"Everything is perfect, thanks!",Very Poor,720p,0.9
Amazing gameplay and no lag at all!,Good,360p,0.99
Great commentary and visuals!,Excellent,1080p,0.94
"Too much buffering, not enjoyable.",Moderate,480p,0.21
Mediocre experience.,Good,480p,0.39
Great commentary and visuals!,Poor,1080p,0.83
Amazing gameplay and no lag at all!,Excellent,720p,0.91
Mediocre experience.,Good,1080p,0.81
"Could be better, could be worse.",Good,1080p,0.51
"Nothing special, just another game.",Poor,1080p,0.64
Great commentary and visuals!,Excellent,1080p,0.83
I’m having a blast watching this!,Moderate,1080p,0.9
"Nothing special, just another game.",Moderate,480p,0.74
"Loved the stream quality, keep it up!",Moderate,360p,0.89
Stream kept freezing every few minutes.,Poor,480p,0.1
Amazing gameplay and no lag at all!,Very Poor,720p,0.98
Audio was off sync. Please fix!,Good,1080p,0.17
Amazing gameplay and no lag at all!,Moderate,1080p,0.92
"Everything is perfect, thanks!",Moderate,1080p,0.99
Stream is okay.,Very Poor,720p,0.5
Audio was off sync. Please fix!,Moderate,720p,0.18
Decent audio but poor video.,Good,360p,0.44
Stream kept freezing every few minutes.,Very Poor,1080p,0.29
The video quality is poor.,Very Poor,1080p,0.23
"Loved the stream quality, keep it up!",Good,480p,0.75
Network is causing delays.,Very Poor,480p,0.4
"Could be better, could be worse.",Moderate,360p,0.76
"Everything is perfect, thanks!",Poor,360p,0.92
The video quality is poor.,Good,480p,0.13
"Too much buffering, not enjoyable.",Very Poor,360p,0.08
Decent audio but poor video.,Very Poor,720p,0.69
Audio was off sync. Please fix!,Excellent,1080p,0.26
"Too much buffering, not enjoyable.",Excellent,480p,0.16
The video quality is poor.,Moderate,360p,0.0
Great commentary and visuals!,Good,720p,0.77
Stream is okay.,Good,360p,0.7
"Everything is perfect, thanks!",Very Poor,720p,0.85
Stream kept freezing every few minutes.,Good,360p,0.07
Decent audio but poor video.,Excellent,720p,0.78
"Everything is perfect, thanks!",Good,360p,0.77
Network is causing delays.,Good,360p,0.34
Amazing gameplay and no lag at all!,Good,480p,0.8
Stream kept freezing every few minutes.,Poor,480p,0.07
"Everything is perfect, thanks!",Very Poor,1080p,0.92
"Loved the stream quality, keep it up!",Good,480p,0.88
Stream kept freezing every few minutes.,Very Poor,720p,0.39
"Nothing special, just another game.",Very Poor,360p,0.49
Network is causing delays.,Excellent,720p,0.14
Network is causing delays.,Excellent,480p,0.43
Network is causing delays.,Poor,1080p,0.12
Stream is okay.,Moderate,1080p,0.75
"Could be better, could be worse.",Good,480p,0.42
Amazing gameplay and no lag at all!,Moderate,480p,0.89
I’m having a blast watching this!,Very Poor,480p,1.0
"Too much buffering, not enjoyable.",Moderate,480p,0.09
The video quality is poor.,Excellent,360p,0.18
Stream is okay.,Very Poor,720p,0.81
Stream kept freezing every few minutes.,Moderate,1080p,0.08
"Too much buffering, not enjoyable.",Very Poor,360p,0.06
I’m having a blast watching this!,Good,360p,0.85
Stream kept freezing every few minutes.,Poor,360p,0.2
Great commentary and visuals!,Very Poor,360p,0.98
Audio was off sync. Please fix!,Poor,720p,0.16
"Could be better, could be worse.",Poor,480p,0.45
"Could be better, could be worse.",Poor,720p,0.72
Stream kept freezing every few minutes.,Good,1080p,0.29
Mediocre experience.,Very Poor,360p,0.53
"Everything is perfect, thanks!",Poor,360p,0.9
Audio was off sync. Please fix!,Moderate,480p,0.21
"Loved the stream quality, keep it up!",Poor,480p,1.0
Decent audio but poor video.,Very Poor,1080p,0.75
Network is causing delays.,Good,480p,0.15
Stream kept freezing every few minutes.,Good,720p,0.03
Decent audio but poor video.,Good,720p,0.44
Stream is okay.,Poor,480p,0.42
Mediocre experience.,Very Poor,480p,0.75
Network is causing delays.,Moderate,1080p,0.34
Stream is okay.,Excellent,1080p,0.64
"Nothing special, just another game.",Poor,480p,0.43
"Could be better, could be worse.",Very Poor,480p,0.73
Mediocre experience.,Moderate,480p,0.58
Amazing gameplay and no lag at all!,Good,480p,0.97
Audio was off sync. Please fix!,Moderate,360p,0.2
Stream kept freezing every few minutes.,Good,480p,0.08
"Too much buffering, not enjoyable.",Moderate,360p,0.3
Decent audio but poor video.,Poor,360p,0.4
Decent audio but poor video.,Moderate,480p,0.64
Network is causing delays.,Poor,480p,0.22
"Could be better, could be worse.",Excellent,1080p,0.41
Decent audio but poor video.,Moderate,480p,0.75
Network is causing delays.,Excellent,360p,0.12
Stream kept freezing every few minutes.,Excellent,720p,0.42
Amazing gameplay and no lag at all!,Excellent,480p,0.93
I’m having a blast watching this!,Excellent,480p,0.91
"Loved the stream quality, keep it up!",Poor,360p,1.0
"Could be better, could be worse.",Very Poor,360p,0.57
"Nothing special, just another game.",Very Poor,480p,0.66
"Everything is perfect, thanks!",Moderate,360p,0.89
Network is causing delays.,Excellent,1080p,0.11
Audio was off sync. Please fix!,Poor,480p,0.34
Audio was off sync. Please fix!,Excellent,1080p,0.14
Audio was off sync. Please fix!,Excellent,720p,0.03
Great commentary and visuals!,Poor,480p,0.8
I’m having a blast watching this!,Excellent,720p,1.0
Audio was off sync. Please fix!,Excellent,360p,0.24
Great commentary and visuals!,Very Poor,480p,0.93
Great commentary and visuals!,Moderate,480p,0.87
Stream kept freezing every few minutes.,Moderate,360p,0.36
"Loved the stream quality, keep it up!",Excellent,1080p,0.95
Amazing gameplay and no lag at all!,Excellent,480p,0.97
Stream is okay.,Moderate,360p,0.41
Stream is okay.,Excellent,1080p,0.64
Decent audio but poor video.,Poor,480p,0.46
Mediocre experience.,Excellent,360p,0.77
"Everything is perfect, thanks!",Poor,360p,1.0
"Nothing special, just another game.",Poor,480p,0.79
"Could be better, could be worse.",Very Poor,720p,0.62
"Nothing special, just another game.",Moderate,480p,0.8
"Too much buffering, not enjoyable.",Poor,1080p,0.27
Audio was off sync. Please fix!,Good,1080p,0.03
"Everything is perfect, thanks!",Very Poor,480p,0.85
Amazing gameplay and no lag at all!,Excellent,360p,0.85
The video quality is poor.,Moderate,360p,0.19
Stream kept freezing every few minutes.,Moderate,1080p,0.26
"Loved the stream quality, keep it up!",Good,360p,0.99
Amazing gameplay and no lag at all!,Very Poor,480p,1.0
The video quality is poor.,Good,1080p,0.19
"Everything is perfect, thanks!",Excellent,480p,1.0
The video quality is poor.,Moderate,720p,0.03
"Nothing special, just another game.",Moderate,720p,0.69
The video quality is poor.,Moderate,360p,0.36
I’m having a blast watching this!,Good,360p,1.0
Great commentary and visuals!,Excellent,360p,1.0
Stream kept freezing every few minutes.,Moderate,720p,0.31
"Could be better, could be worse.",Very Poor,360p,0.65
Audio was off sync. Please fix!,Good,720p,0.19
"Loved the stream quality, keep it up!",Excellent,480p,1.0
"Loved the stream quality, keep it up!",Very Poor,360p,1.0
Network is causing delays.,Good,720p,0.27
"Too much buffering, not enjoyable.",Moderate,480p,0.36
Audio was off sync. Please fix!,Very Poor,360p,0.14
"Loved the stream quality, keep it up!",Poor,1080p,0.79
Great commentary and visuals!,Good,1080p,0.81
Mediocre experience.,Good,480p,0.6
"Everything is perfect, thanks!",Moderate,720p,0.93
Network is causing delays.,Good,360p,0.26
"Could be better, could be worse.",Good,720p,0.41
"Loved the stream quality, keep it up!",Excellent,1080p,0.98
I’m having a blast watching this!,Poor,360p,0.94
Audio was off sync. Please fix!,Very Poor,720p,0.03
"Everything is perfect, thanks!",Moderate,1080p,0.76
"Could be better, could be worse.",Very Poor,360p,0.6
Stream kept freezing every few minutes.,Poor,360p,0.33
Stream kept freezing every few minutes.,Moderate,720p,0.2
"Loved the stream quality, keep it up!",Excellent,480p,0.94
Great commentary and visuals!,Very Poor,480p,0.9
Decent audio but poor video.,Excellent,480p,0.72
The video quality is poor.,Poor,480p,0.0
"Too much buffering, not enjoyable.",Good,360p,0.33
"Nothing special, just another game.",Good,1080p,0.73
The video quality is poor.,Very Poor,720p,0.04
"Everything is perfect, thanks!",Good,1080p,0.85
Great commentary and visuals!,Excellent,720p,0.94
Mediocre experience.,Very Poor,480p,0.6
I’m having a blast watching this!,Poor,720p,0.96
Audio was off sync. Please fix!,Good,1080p,0.15
Great commentary and visuals!,Good,360p,0.93
The video quality is poor.,Very Poor,720p,0.27
Amazing gameplay and no lag at all!,Poor,360p,0.82
Stream kept freezing every few minutes.,Very Poor,480p,0.03
Stream is okay.,Excellent,720p,0.47
"Nothing special, just another game.",Poor,720p,0.63
The video quality is poor.,Excellent,1080p,0.09
Decent audio but poor video.,Excellent,480p,0.63
Stream is okay.,Poor,480p,0.42
"Too much buffering, not enjoyable.",Poor,720p,0.11
I’m having a blast watching this!,Good,1080p,0.85
Amazing gameplay and no lag at all!,Good,1080p,0.88
Amazing gameplay and no lag at all!,Moderate,720p,0.9
"Nothing special, just another game.",Moderate,1080p,0.73
"Everything is perfect, thanks!",Excellent,1080p,0.85
"Nothing special, just another game.",Good,1080p,0.48
Network is causing delays.,Excellent,480p,0.38
Stream kept freezing every few minutes.,Moderate,720p,0.16
Audio was off sync. Please fix!,Moderate,1080p,0.42
Mediocre experience.,Excellent,1080p,0.69
The video quality is poor.,Very Poor,480p,0.42
Network is causing delays.,Excellent,480p,0.0
"Could be better, could be worse.",Excellent,1080p,0.43
I’m having a blast watching this!,Poor,720p,0.95
"Too much buffering, not enjoyable.",Excellent,360p,0.12
I’m having a blast watching this!,Excellent,360p,0.93
Stream kept freezing every few minutes.,Excellent,720p,0.29
Stream kept freezing every few minutes.,Poor,360p,0.03
"Nothing special, just another game.",Moderate,360p,0.83
Stream kept freezing every few minutes.,Good,720p,0.43
Audio was off sync. Please fix!,Moderate,1080p,0.35
Amazing gameplay and no lag at all!,Excellent,720p,0.89
Great commentary and visuals!,Moderate,360p,0.96
The video quality is poor.,Excellent,360p,0.4
"Everything is perfect, thanks!",Excellent,720p,0.96
Network is causing delays.,Very Poor,480p,0.48
Stream kept freezing every few minutes.,Poor,1080p,0.14
"Loved the stream quality, keep it up!",Excellent,720p,0.9
"Loved the stream quality, keep it up!",Moderate,480p,0.99
The video quality is poor.,Good,1080p,0.07
"Everything is perfect, thanks!",Excellent,720p,0.92
"Nothing special, just another game.",Excellent,720p,0.33
Mediocre experience.,Good,360p,0.66
"Could be better, could be worse.",Excellent,1080p,0.58
"Loved the stream quality, keep it up!",Good,480p,0.91
Network is causing delays.,Very Poor,480p,0.06
Network is causing delays.,Excellent,1080p,0.22
"Could be better, could be worse.",Poor,360p,0.38
Stream kept freezing every few minutes.,Excellent,480p,0.04
I’m having a blast watching this!,Very Poor,720p,1.0
Stream kept freezing every few minutes.,Very Poor,720p,0.41
I’m having a blast watching this!,Poor,360p,0.93
"Everything is perfect, thanks!",Poor,480p,0.88
Audio was off sync. Please fix!,Poor,360p,0.28
Stream kept freezing every few minutes.,Moderate,1080p,0.25
The video quality is poor.,Poor,1080p,0.16
"Everything is perfect, thanks!",Poor,1080p,0.78
I’m having a blast watching this!,Excellent,720p,0.77
Decent audio but poor video.,Good,720p,0.71
Audio was off sync. Please fix!,Good,360p,0.2
Great commentary and visuals!,Very Poor,480p,0.9
Decent audio but poor video.,Poor,360p,0.8
"Nothing special, just another game.",Very Poor,360p,0.66
"Too much buffering, not enjoyable.",Moderate,720p,0.3
"Everything is perfect, thanks!",Excellent,360p,0.84
Network is causing delays.,Very Poor,720p,0.0
Stream kept freezing every few minutes.,Poor,480p,0.17
Amazing gameplay and no lag at all!,Moderate,360p,0.92
"Too much buffering, not enjoyable.",Poor,720p,0.29
Amazing gameplay and no lag at all!,Good,360p,0.93
Amazing gameplay and no lag at all!,Good,360p,0.89
"Loved the stream quality, keep it up!",Poor,360p,0.97
"Nothing special, just another game.",Good,1080p,0.73
Mediocre experience.,Good,720p,0.58
"Loved the stream quality, keep it up!",Very Poor,360p,1.0
"Everything is perfect, thanks!",Poor,720p,0.77
"Loved the stream quality, keep it up!",Very Poor,360p,0.9
Amazing gameplay and no lag at all!,Very Poor,360p,0.86
Mediocre experience.,Very Poor,480p,0.6
Stream kept freezing every few minutes.,Good,720p,0.1
"Everything is perfect, thanks!",Poor,360p,1.0
The video quality is poor.,Excellent,720p,0.22
The video quality is poor.,Very Poor,480p,0.15
Amazing gameplay and no lag at all!,Moderate,480p,0.9
Amazing gameplay and no lag at all!,Good,360p,1.0
Network is causing delays.,Very Poor,480p,0.0
